210.5	 211.5	-1	 -0.9 0.012     0.25309  0.00327285 0.00330084 0.257785 0.00378516 0.00382143
210.5	 211.5  -0.9	 -0.8 0.019     0.307785 0.00335229 0.00337253 0.321426 0.00388891 0.00391362
210.5	 211.5  -0.8	  0   0.106     0.30939  0.0010937  0.00109584 0.305252 0.00124847 0.00125133
210.5	 211.5   0	  0.8 0.238     0.290613 0.00112136 0.00112391 0.283609 0.00127795 0.00128143
210.5	 211.5   0.8	  0.9 0.137     0.268944 0.00362154 0.00365235 0.268274 0.00414116 0.00418162
210.5	 211.5   0.9	  1   0.072     0.223709 0.00364006 0.00368227 0.231674 0.00421593 0.00426957
2211.5 2212.5 	-1 	 -0.9 0.008     0.193667 0.00308331 0.00312069 0.203926 0.00359298 0.00364017
2211.5 2212.5 	-0.9 	 -0.8 0.026      0.268006 0.00333734 0.00336367 0.261032 0.00374495 0.00377968
2211.5 2212.5 	-0.8	  0   0.134      0.265312 0.00104228 0.0010449  0.257299 0.0011804  0.00118394
2211.5 2212.5 	 0	  0.8 0.159      0.241972 0.00105108 0.00105419 0.239241 0.00120181 0.00120595
2211.5 2212.5 	 0.8	  0.9 0.077      0.190909 0.00336523 0.00341068 0.198725 0.00391045 0.00396847
2211.5 2212.5 	 0.9	  1   0.044      0.133577 0.00322499 0.00329129 0.138937 0.00372156 0.00380576

